mass_F
t;x;y
0,000000000E0;2,683181261E-1;2,494165192E0
4,000000000E-2;3,178750460E-1;2,496039590E0
8,000000000E-2;3,824606439E-1;2,492539029E0
1,200000000E-1;4,832340376E-1;2,488883348E0
1,600000000E-1;5,923555564E-1;2,488229136E0
2,000000000E-1;7,189325381E-1;2,485767140E0
2,400000000E-1;8,646000765E-1;2,486761835E0
2,800000000E-1;1,043852673E0;2,483916016E0
3,200000000E-1;1,227464053E0;2,485310960E0
3,600000000E-1;1,441914036E0;2,486454085E0
4,000000000E-1;1,671697486E0;2,486926009E0
4,400000000E-1;1,927736202E0;2,479606497E0
4,800000000E-1;2,213826171E0;2,479633094E0
5,200000000E-1;2,527363643E0;2,466068790E0
5,600000000E-1;2,866001367E0;2,467448697E0
6,000000000E-1;3,212246859E0;2,460139221E0
6,400000000E-1;3,589650525E0;2,449678017E0
6,800000000E-1;3,973859987E0;2,442958005E0
7,200000000E-1;4,391697581E0;2,457833123E0
7,600000000E-1;4,830068951E0;2,444181957E0
8,000000000E-1;5,275123810E0;2,454021866E0
8,400000000E-1;5,760759636E0;2,457398985E0
8,800000000E-1;6,291586658E0;2,468971342E0
9,200000000E-1;6,853457002E0;2,468902276E0
9,600000000E-1;7,402000022E0;2,473205713E0
1,000000000E0;8,004273446E0;2,470504482E0
1,040000000E0;8,627777143E0;2,452599200E0
1,080000000E0;9,231193443E0;2,427500623E0
1,120000000E0;9,867312825E0;2,419505188E0
1,160000000E0;1,050880230E1;2,424316793E0
1,200000000E0;1,123588710E1;2,459815267E0
1,240000000E0;1,399688446E1;2,500361575E0
1,280000000E0;1,471203853E1;1,905641450E0
1,320000000E0;1,344795425E1;2,415651029E0
1,360000000E0;1,426132094E1;2,439900515E0
1,400000000E0;1,504717811E1;2,429791652E0
1,440000000E0;1,584625375E1;2,432988616E0
1,480000000E0;1,670560013E1;2,452501317E0
1,520000000E0;1,770998655E1;2,577313628E0
1,560000000E0;1,870833871E1;2,541148676E0
1,600000000E0;1,960770655E1;2,454145321E0
1,640000000E0;1,947704712E1;2,518334293E0
1,680000000E0;2,147536579E1;2,636104260E0
1,720000000E0;2,250897756E1;2,667727072E0
1,760000000E0;2,355541843E1;2,663359243E0
1,800000000E0;2,294984209E1;2,896339382E0
1,840000000E0;2,481211402E1;3,614183843E0
1,880000000E0;2,769666884E1;3,343499862E0
1,920000000E0;2,920426713E1;2,582562043E0
1,960000000E0;2,788902290E1;8,348008233E-1
