mass_A
t	x	y
0.000000000E0	7.284036541E0	2.537154560E1
4.000000000E-2	7.346590412E0	2.537436819E1
8.000000000E-2	7.656343728E0	2.535504378E1
1.200000000E-1	7.897268625E0	2.542975008E1
1.600000000E-1	8.472549236E0	2.537226244E1
2.000000000E-1	9.007782986E0	2.543236409E1
2.400000000E-1	9.788057621E0	2.538029169E1
2.800000000E-1	1.094905084E1	2.534092432E1
3.200000000E-1	1.224254126E1	2.530404303E1
3.600000000E-1	1.381156158E1	2.528463732E1
4.000000000E-1	1.570102752E1	2.521329686E1
4.400000000E-1	1.765336886E1	2.526801552E1
4.800000000E-1	2.000729093E1	2.524704215E1
5.200000000E-1	2.252623617E1	2.521381327E1
5.600000000E-1	2.533241540E1	2.523158759E1
6.000000000E-1	2.835567964E1	2.514249998E1
6.400000000E-1	3.154020248E1	2.512544575E1
6.800000000E-1	3.495919425E1	2.507195311E1
7.200000000E-1	3.874490182E1	2.502435112E1
7.600000000E-1	4.256927247E1	2.501488385E1
8.000000000E-1	4.666056891E1	2.489984747E1
8.400000000E-1	5.107470626E1	2.497029084E1
8.800000000E-1	5.551627846E1	2.482652239E1
9.200000000E-1	6.060273066E1	2.493461681E1
9.600000000E-1	6.575458878E1	2.500443785E1
1.000000000E0	7.122558956E1	2.508730204E1
1.040000000E0	7.719883279E1	2.513870149E1
1.080000000E0	8.302624193E1	2.519200418E1
1.120000000E0	8.944022635E1	2.530126679E1
1.160000000E0	9.583868508E1	2.510403381E1
1.200000000E0	1.025479549E2	2.488619398E1
1.240000000E0	1.091385397E2	2.476623213E1
1.280000000E0	1.158503436E2	2.471021197E1
1.320000000E0	1.234553518E2	2.490942202E1
1.360000000E0	1.309718040E2	2.479198523E1
1.400000000E0	1.607656197E2	2.150778763E1
1.440000000E0	1.673699115E2	1.553077574E1
1.480000000E0	1.543493019E2	2.477774227E1
1.520000000E0	1.631466199E2	2.478776656E1
1.560000000E0	1.711486840E2	2.485036731E1
1.600000000E0	1.799984751E2	2.494666669E1
1.640000000E0	1.898528903E2	2.626350227E1
1.680000000E0	2.011103743E2	2.641677202E1
1.720000000E0	2.103749898E2	2.559448064E1
1.760000000E0	1.992144556E2	2.200922532E1
1.800000000E0	2.190444909E2	2.706788593E1
1.840000000E0	2.395062162E2	2.723595253E1
1.880000000E0	2.508042138E2	2.725644539E1
1.920000000E0	2.433716058E2	2.727585426E1
1.960000000E0	2.564906737E2	3.394857847E1
2.000000000E0	2.645553579E2	3.680989549E1
2.040000000E0	2.964085600E2	4.124421992E1
2.080000000E0	3.068698303E2	2.680214615E1
2.120000000E0	3.021668693E2	1.207629298E1
2.160000000E0	3.211731719E2	2.256439070E1
2.200000000E0	3.436231814E2	2.679886798E1
2.240000000E0	3.573689457E2	2.749485785E1
2.280000000E0	3.672659417E2	2.730213905E1
2.320000000E0	3.613056965E2	1.757743566E1
2.360000000E0	3.769201658E2	2.731529610E1
2.400000000E0	3.951356875E2	3.684663096E1
2.440000000E0	4.221067511E2	2.771674461E1
2.480000000E0	4.219857460E2	3.308710464E1
2.520000000E0	4.513956206E2	4.186230391E1
2.560000000E0	4.859332006E2	2.748851049E1
2.600000000E0	4.759855625E2	1.405097067E1
2.640000000E0	4.900868475E2	2.376020491E1
2.680000000E0	5.093320087E2	2.700184528E1
2.720000000E0	5.447492621E2	1.460106210E1
2.760000000E0	5.320329184E2	2.797571891E1
2.800000000E0	5.645799613E2	4.012877125E1
2.840000000E0	5.830250669E2	2.038075372E1
2.880000000E0	5.931941420E2	2.215987533E1
