mass_A
t;x;y
0.000000000E0;5.542520815E0;2.814410796E1
4.000000000E-2;5.663499596E0;2.814705052E1
8.000000000E-2;6.077665056E0;2.817570257E1
1.200000000E-1;6.699011890E0;2.813133046E1
1.600000000E-1;7.311544359E0;2.819805962E1
2.000000000E-1;8.405572597E0;2.820547796E1
2.400000000E-1;9.605873290E0;2.819923744E1
2.800000000E-1;1.102872644E1;2.819801359E1
3.200000000E-1;1.271645647E1;2.806746485E1
3.600000000E-1;1.448188659E1;2.808154262E1
4.000000000E-1;1.675600640E1;2.812109874E1
4.400000000E-1;1.915607806E1;2.805426763E1
4.800000000E-1;2.177552651E1;2.796311351E1
5.200000000E-1;2.461628810E1;2.797379225E1
5.600000000E-1;2.771894144E1;2.793888624E1
6.000000000E-1;3.096468932E1;2.779280649E1
6.400000000E-1;3.458939488E1;2.787861987E1
6.800000000E-1;3.827362842E1;2.788720569E1
7.200000000E-1;4.227588674E1;2.773862922E1
7.600000000E-1;4.670734535E1;2.778899526E1
8.000000000E-1;5.101506389E1;2.762555198E1
8.400000000E-1;5.579025654E1;2.764343337E1
8.800000000E-1;6.083168300E1;2.779140281E1
9.200000000E-1;6.608707469E1;2.784076314E1
9.600000000E-1;7.148423843E1;2.781479975E1
1.000000000E0;7.727167362E1;2.772376529E1
1.040000000E0;8.324035236E1;2.787489813E1
1.080000000E0;8.949207182E1;2.770008484E1
1.120000000E0;9.615326440E1;2.744323773E1
1.160000000E0;1.024561777E2;2.724889301E1
1.200000000E0;1.091631558E2;2.705040069E1
1.240000000E0;1.160749046E2;2.713116766E1
1.280000000E0;1.236800086E2;2.724682020E1
1.320000000E0;1.312637995E2;2.693100256E1
1.360000000E0;1.386355831E2;2.692930707E1
1.400000000E0;1.464512486E2;2.691163471E1
1.440000000E0;1.550687991E2;2.695035274E1
1.480000000E0;1.630274976E2;2.672847136E1
1.520000000E0;1.718271738E2;2.677718111E1
1.560000000E0;1.809448651E2;2.785615513E1
1.600000000E0;1.919142292E2;2.832474193E1
1.640000000E0;2.019377330E2;2.770446220E1
1.680000000E0;1.925156432E2;2.416823465E1
1.720000000E0;2.110284948E2;2.888448282E1
1.760000000E0;2.303479796E2;2.895912639E1
1.800000000E0;2.418479019E2;2.897185386E1
1.840000000E0;2.355267801E2;2.891357358E1
1.880000000E0;2.474855713E2;3.507391518E1
1.920000000E0;2.630292987E2;4.033049942E1
1.960000000E0;2.856386295E2;4.337917037E1
2.000000000E0;3.196696142E2;2.524091162E1
2.040000000E0;2.948136379E2;1.314868503E1
2.080000000E0;3.240009392E2;2.803551388E1
2.120000000E0;3.347485413E2;2.874084898E1
2.160000000E0;3.497308151E2;2.917794261E1
2.200000000E0;3.596535496E2;2.238110075E1
2.240000000E0;3.577856920E2;1.472833014E1
2.280000000E0;3.693767301E2;2.751573878E1
2.320000000E0;3.864956903E2;3.748717142E1
2.360000000E0;4.042393161E2;2.775924404E1
2.400000000E0;4.137493034E2;3.268135980E1
2.440000000E0;4.333693157E2;4.076047610E1
2.480000000E0;4.774115157E2;2.912970520E1
2.520000000E0;4.853413636E2;3.042655217E1
2.560000000E0;4.846781566E2;2.440157168E1
2.600000000E0;4.884948374E2;2.649032155E1
2.640000000E0;5.248672515E2;2.158288644E1
