mass_A
t;x;y
0.000000000E0;4.132831022E-1;2.924977827E0
4.000000000E-2;4.141233753E-1;2.924974960E0
8.000000000E-2;4.185666128E-1;2.926323433E0
1.200000000E-1;4.283387991E-1;2.929760474E0
1.600000000E-1;4.749744887E-1;2.923841354E0
2.000000000E-1;5.247320240E-1;2.918212176E0
2.400000000E-1;5.817232771E-1;2.920361296E0
2.800000000E-1;6.587728695E-1;2.924606074E0
3.200000000E-1;7.760759194E-1;2.922078196E0
3.600000000E-1;9.079138348E-1;2.924758818E0
4.000000000E-1;1.068747036E0;2.924077644E0
4.400000000E-1;1.261720450E0;2.922888490E0
4.800000000E-1;1.455891530E0;2.932092208E0
5.200000000E-1;1.689811552E0;2.928738032E0
5.600000000E-1;1.943859680E0;2.928248066E0
6.000000000E-1;2.226556265E0;2.928029360E0
6.400000000E-1;2.541005653E0;2.942138970E0
6.800000000E-1;2.881436353E0;2.925425574E0
7.200000000E-1;3.253706655E0;2.929847549E0
7.600000000E-1;3.616706013E0;2.923840071E0
8.000000000E-1;4.041780813E0;2.924182026E0
8.400000000E-1;4.464807453E0;2.927488098E0
8.800000000E-1;4.927354266E0;2.921058432E0
9.200000000E-1;5.409281366E0;2.920911140E0
9.600000000E-1;5.911020827E0;2.914667114E0
1.000000000E0;6.437043792E0;2.923403253E0
1.040000000E0;6.971150669E0;2.929752560E0
1.080000000E0;7.581449294E0;2.940557587E0
1.120000000E0;8.175060701E0;2.940097247E0
1.160000000E0;8.812763840E0;2.969487962E0
1.200000000E0;9.478647018E0;2.952798130E0
1.240000000E0;1.014052897E1;2.921410234E0
1.280000000E0;1.080970939E1;2.906362705E0
1.320000000E0;1.150348208E1;2.904521241E0
1.360000000E0;1.220458718E1;2.912919578E0
1.400000000E0;1.298867678E1;2.922868824E0
1.440000000E0;1.375756452E1;2.918199330E0
1.480000000E0;1.457516301E1;2.902580214E0
1.520000000E0;1.538574296E1;2.918051149E0
1.560000000E0;1.624825965E1;2.926695223E0
1.600000000E0;1.708944282E1;2.917482916E0
1.640000000E0;1.798928987E1;2.935302222E0
1.680000000E0;1.896930963E1;3.075387898E0
1.720000000E0;1.998642296E1;3.086193333E0
1.760000000E0;2.110458922E1;3.029822211E0
1.800000000E0;2.009044708E1;2.654836428E0
1.840000000E0;2.203841176E1;3.180253055E0
1.880000000E0;2.407507213E1;3.169426480E0
1.920000000E0;2.521044945E1;3.171090100E0
1.960000000E0;2.457220629E1;3.182389572E0
2.000000000E0;2.587736195E1;3.816528439E0
2.040000000E0;2.717880248E1;4.267102345E0
2.080000000E0;3.184815651E1;3.542292690E0
2.120000000E0;3.097661956E1;3.155961096E0
2.160000000E0;3.054654787E1;1.668252695E0
2.200000000E0;3.339986105E1;3.111036365E0
2.240000000E0;3.370832952E1;1.011794696E0
2.280000000E0;3.455003669E1;1.652455621E0
2.320000000E0;3.499478844E1;1.722301467E0
2.360000000E0;3.695575893E1;3.241397049E0
2.400000000E0;3.798520512E1;3.078626562E0
2.440000000E0;3.974970793E1;3.334074665E0
2.480000000E0;4.237199632E1;3.930906251E0
2.520000000E0;4.426330849E1;4.467217479E0
2.560000000E0;4.630545537E1;3.818812754E0
2.600000000E0;4.722922340E1;4.803479834E0
