sylinder
t;x;y
0,000000000E0;4,889336050E0;6,147232725E1
4,000000000E-2;5,824985291E0;6,159195003E1
8,000000000E-2;7,166389901E0;6,156858216E1
1,200000000E-1;9,193556144E0;6,159520616E1
1,600000000E-1;1,141818360E1;6,172197438E1
2,000000000E-1;1,411253509E1;6,177609550E1
2,400000000E-1;1,704232396E1;6,178448022E1
2,800000000E-1;2,095454817E1;6,185374821E1
3,200000000E-1;2,478354038E1;6,208278982E1
3,600000000E-1;2,923534769E1;6,218276072E1
4,000000000E-1;3,426905821E1;6,232697437E1
4,400000000E-1;3,960636297E1;6,245815142E1
4,800000000E-1;4,551098374E1;6,263267673E1
5,200000000E-1;5,218279800E1;6,280338898E1
5,600000000E-1;5,874002598E1;6,288665533E1
6,000000000E-1;6,606556705E1;6,306651969E1
6,400000000E-1;7,415046160E1;6,344579838E1
6,800000000E-1;8,209955858E1;6,363546718E1
7,200000000E-1;9,077866665E1;6,338108497E1
7,600000000E-1;9,964025506E1;6,315933547E1
8,000000000E-1;1,088602998E2;6,355034052E1
8,400000000E-1;1,185900403E2;6,361185041E1
8,800000000E-1;1,295770376E2;6,374553484E1
9,200000000E-1;1,404555567E2;6,394559963E1
9,600000000E-1;1,523332768E2;6,421507033E1
1,000000000E0;1,647037130E2;6,405087124E1
1,040000000E0;1,769353781E2;6,374286228E1
1,080000000E0;1,895020193E2;6,376549341E1
1,120000000E0;2,016323310E2;6,355034712E1
1,160000000E0;2,139541375E2;6,437882850E1
1,200000000E0;2,283390156E2;6,506280614E1
1,240000000E0;2,443972427E2;6,446150158E1
1,280000000E0;2,595961224E2;6,466743874E1
1,320000000E0;2,755688145E2;6,458996834E1
1,360000000E0;2,911173005E2;6,511674250E1
1,400000000E0;3,071951652E2;6,533362148E1
1,440000000E0;3,243967411E2;6,569160929E1
1,480000000E0;3,433370308E2;6,759239157E1
1,520000000E0;3,632764884E2;6,821378111E1
1,560000000E0;3,843348251E2;6,708728651E1
1,600000000E0;3,735864461E2;6,429279663E1
1,640000000E0;4,176374047E2;7,019221576E1
1,680000000E0;4,425770198E2;7,132493767E1
1,720000000E0;4,635610396E2;7,145274576E1
1,760000000E0;4,856906376E2;7,219242885E1
1,800000000E0;4,764281556E2;8,401927911E1
1,840000000E0;5,446347327E2;9,090444729E1
1,880000000E0;5,541905722E2;1,000817069E2
1,920000000E0;5,762920856E2;7,291468378E1
1,960000000E0;6,055433374E2;7,307785134E1
2,000000000E0;6,093574439E2;2,778669897E1
2,040000000E0;6,585515118E2;5,301434537E1
2,080000000E0;6,755350350E2;5,336492000E1
2,120000000E0;6,742486183E2;4,545665855E1
2,160000000E0;7,041968140E2;4,067702260E1
2,200000000E0;7,366943856E2;3,767639280E1
2,240000000E0;7,651178851E2;8,255319921E1
2,280000000E0;7,892724979E2;7,340725642E1
2,320000000E0;8,443548436E2;7,611033498E1
2,360000000E0;8,545674107E2;3,096876761E1
