sylinder
t;x;y
0,000000000E0;1,820015991E0;3,581403531E1
4,000000000E-2;2,033525510E0;3,589154594E1
8,000000000E-2;2,422721301E0;3,583096925E1
1,200000000E-1;3,090337276E0;3,587328994E1
1,600000000E-1;4,157694026E0;3,587180993E1
2,000000000E-1;5,410286119E0;3,589251353E1
2,400000000E-1;6,965708089E0;3,590669375E1
2,800000000E-1;8,696608056E0;3,592920794E1
3,200000000E-1;1,072650033E1;3,599615991E1
3,600000000E-1;1,307499637E1;3,599375448E1
4,000000000E-1;1,557930834E1;3,599575480E1
4,400000000E-1;1,839404268E1;3,599022475E1
4,800000000E-1;2,158865488E1;3,602562409E1
5,200000000E-1;2,499996899E1;3,593558500E1
5,600000000E-1;2,865711607E1;3,592077076E1
6,000000000E-1;3,261869037E1;3,589582722E1
6,400000000E-1;3,651227820E1;3,592271295E1
6,800000000E-1;4,119321358E1;3,605154319E1
7,200000000E-1;4,577090671E1;3,609580150E1
7,600000000E-1;5,121916106E1;3,601136828E1
8,000000000E-1;5,644235670E1;3,604183382E1
8,400000000E-1;6,191229699E1;3,580414210E1
8,800000000E-1;6,757836523E1;3,568822881E1
9,200000000E-1;7,363481181E1;3,569163317E1
9,600000000E-1;7,981420531E1;3,568351689E1
1,000000000E0;8,622056133E1;3,560340513E1
1,040000000E0;9,321773765E1;3,559464670E1
1,080000000E0;1,004490924E2;3,548218610E1
1,120000000E0;1,075321629E2;3,507771235E1
1,160000000E0;1,149054937E2;3,461432457E1
1,200000000E0;1,220166588E2;3,444914831E1
1,240000000E0;1,292440989E2;3,460268305E1
1,280000000E0;1,371981942E2;3,485195162E1
1,320000000E0;1,459913530E2;3,490107273E1
1,360000000E0;1,552291922E2;3,412179107E1
1,400000000E0;1,637093074E2;3,403222602E1
1,440000000E0;1,724763391E2;3,395970311E1
1,480000000E0;1,814819959E2;3,394782240E1
1,520000000E0;1,912323543E2;3,432456192E1
1,560000000E0;2,023006385E2;3,538077977E1
1,600000000E0;2,126518023E2;3,510047925E1
1,640000000E0;2,238675916E2;3,443663636E1
1,680000000E0;2,134601883E2;3,009768188E1
1,720000000E0;2,347549470E2;3,577852527E1
1,760000000E0;2,553748002E2;3,556961996E1
1,800000000E0;2,661130773E2;3,542996733E1
1,840000000E0;2,784769252E2;3,535049192E1
1,880000000E0;2,752211003E2;4,164533569E1
1,920000000E0;3,048357255E2;3,499024705E1
1,960000000E0;3,265396179E2;3,511004536E1
2,000000000E0;3,266829857E2;3,447467839E1
2,040000000E0;3,233780661E2;1,969045225E1
2,080000000E0;3,349166018E2;2,801342837E1
2,120000000E0;3,551761092E2;1,277389509E1
2,160000000E0;3,765730810E2;2,396090422E1
2,200000000E0;3,834455181E2;1,051840932E1
2,240000000E0;3,905493166E2;3,376177992E1
2,280000000E0;4,105141798E2;3,470852026E1
2,320000000E0;4,276157458E2;3,915128014E1
2,360000000E0;4,492050767E2;3,395148708E1
2,400000000E0;4,627528297E2;3,261545656E1
2,440000000E0;4,964872441E2;3,774493303E1
2,480000000E0;5,131456785E2;3,561124547E1
2,520000000E0;4,978039586E2;2,013870654E1
