mass_A
t;x;y
0.000000000E0;3.002799898E-1;2.654896204E0
4.000000000E-2;3.006681627E-1;2.654756095E0
8.000000000E-2;3.016833713E-1;2.655038532E0
1.200000000E-1;3.038505403E-1;2.654196075E0
1.600000000E-1;3.125895149E-1;2.659053107E0
2.000000000E-1;3.444637394E-1;2.658955873E0
2.400000000E-1;3.631066272E-1;2.666066583E0
2.800000000E-1;4.171475497E-1;2.656112915E0
3.200000000E-1;4.656614402E-1;2.663933123E0
3.600000000E-1;5.356956747E-1;2.659484487E0
4.000000000E-1;6.005324808E-1;2.662750891E0
4.400000000E-1;7.120841387E-1;2.662306671E0
4.800000000E-1;8.337519663E-1;2.663004469E0
5.200000000E-1;9.735122370E-1;2.664138986E0
5.600000000E-1;1.137564273E0;2.664839720E0
6.000000000E-1;1.321449456E0;2.673251903E0
6.400000000E-1;1.537713814E0;2.670928365E0
6.800000000E-1;1.768942396E0;2.670142023E0
7.200000000E-1;2.022525417E0;2.685339623E0
7.600000000E-1;2.288443388E0;2.687697938E0
8.000000000E-1;2.587921250E0;2.690104619E0
8.400000000E-1;2.902960800E0;2.692845091E0
8.800000000E-1;3.257612510E0;2.699070216E0
9.200000000E-1;3.613686250E0;2.698502315E0
9.600000000E-1;4.005733326E0;2.714287530E0
1.000000000E0;4.411571909E0;2.710864657E0
1.040000000E0;4.840158716E0;2.717169636E0
1.080000000E0;5.272549681E0;2.727356204E0
1.120000000E0;5.731709781E0;2.730571844E0
1.160000000E0;6.241965616E0;2.737085114E0
1.200000000E0;6.757625220E0;2.755202364E0
1.240000000E0;7.295618134E0;2.770896827E0
1.280000000E0;7.883768659E0;2.784556792E0
1.320000000E0;8.483029487E0;2.779225166E0
1.360000000E0;9.110774916E0;2.759769040E0
1.400000000E0;9.739775872E0;2.746504030E0
1.440000000E0;1.036973375E1;2.738934077E0
1.480000000E0;1.100383151E1;2.749689755E0
1.520000000E0;1.173153013E1;2.771622123E0
1.560000000E0;1.249552569E1;2.757125644E0
1.600000000E0;1.319169679E1;2.755257973E0
1.640000000E0;1.392995111E1;2.743664730E0
1.680000000E0;1.475988360E1;2.769942953E0
1.720000000E0;1.555524791E1;2.776042289E0
1.760000000E0;1.638390781E1;2.777726439E0
1.800000000E0;1.724913858E1;2.845760389E0
1.840000000E0;1.823348186E1;2.962216230E0
1.880000000E0;1.928711486E1;2.948512120E0
1.920000000E0;1.820305371E1;2.422005557E0
1.960000000E0;2.005330912E1;3.032311369E0
2.000000000E0;2.206326514E1;3.068133966E0
2.040000000E0;2.322185928E1;3.127107755E0
2.080000000E0;2.423934305E1;3.129264603E0
2.120000000E0;2.572267841E1;4.261411976E0
2.160000000E0;2.717293681E1;4.153242206E0
2.200000000E0;2.861778190E1;3.667356554E0
2.240000000E0;3.017781022E1;3.027243992E0
2.280000000E0;3.010754971E1;3.162149994E0
2.320000000E0;3.123341414E1;3.125451606E0
2.360000000E0;3.228545601E1;3.157770500E0
2.400000000E0;3.370217563E1;3.189382736E0
2.440000000E0;3.509608727E1;2.523623693E0
2.480000000E0;3.598415824E1;3.277183357E0
2.520000000E0;3.541692687E1;2.592241725E0
2.560000000E0;3.720710304E1;3.655470076E0
2.600000000E0;3.973235643E1;4.013456415E0
2.640000000E0;4.132866793E1;5.350340546E0
2.680000000E0;4.411614917E1;4.474804005E0
2.720000000E0;4.581565968E1;4.152697296E0
2.760000000E0;4.613244748E1;3.344397645E0
2.800000000E0;4.237365093E1;-4.885195914E0
2.840000000E0;4.782518959E1;2.692702623E0
2.880000000E0;4.223288920E1;-4.948790717E0
