mass_A
t;x;y
0,000000000E0;2,546181443E-1;2,624440699E0
4,000000000E-2;2,613569670E-1;2,626517498E0
8,000000000E-2;2,965520868E-1;2,627318425E0
1,200000000E-1;3,529387114E-1;2,622346238E0
1,600000000E-1;4,098974547E-1;2,628060342E0
2,000000000E-1;4,966397945E-1;2,632637767E0
2,400000000E-1;6,078169095E-1;2,628362993E0
2,800000000E-1;7,515904207E-1;2,621137703E0
3,200000000E-1;9,207605965E-1;2,620776748E0
3,600000000E-1;1,107880817E0;2,618377286E0
4,000000000E-1;1,328581416E0;2,611760950E0
4,400000000E-1;1,558061964E0;2,603639175E0
4,800000000E-1;1,820191280E0;2,602275677E0
5,200000000E-1;2,111144426E0;2,604037826E0
5,600000000E-1;2,429897659E0;2,601996131E0
6,000000000E-1;2,763943931E0;2,582339311E0
6,400000000E-1;3,111676771E0;2,584667244E0
6,800000000E-1;3,513868292E0;2,585238294E0
7,200000000E-1;3,923307921E0;2,569733684E0
7,600000000E-1;4,364158799E0;2,564136438E0
8,000000000E-1;4,813309213E0;2,555087521E0
8,400000000E-1;5,293754893E0;2,554125320E0
8,800000000E-1;5,809482477E0;2,568871918E0
9,200000000E-1;6,337435141E0;2,567939781E0
9,600000000E-1;6,900367178E0;2,576714687E0
1,000000000E0;7,481652712E0;2,580395864E0
1,040000000E0;8,104066961E0;2,580958669E0
1,080000000E0;8,722538295E0;2,580140373E0
1,120000000E0;9,379937511E0;2,575082223E0
1,160000000E0;1,006404159E1;2,567778444E0
1,200000000E0;1,076146099E1;2,528928871E0
1,240000000E0;1,143226857E1;2,504526660E0
1,280000000E0;1,213588180E1;2,500552331E0
1,320000000E0;1,413236539E1;2,738114911E0
1,360000000E0;1,365515517E1;2,528038329E0
1,400000000E0;1,449828554E1;2,485485256E0
1,440000000E0;1,530293949E1;2,462152742E0
1,480000000E0;1,608183078E1;2,468091985E0
1,520000000E0;1,691209162E1;2,484999648E0
1,560000000E0;1,783307697E1;2,496050237E0
1,600000000E0;1,884777580E1;2,601250909E0
1,640000000E0;1,971500754E1;2,542892976E0
1,680000000E0;2,068347370E1;2,515923536E0
1,720000000E0;2,168800557E1;2,471809038E0
1,760000000E0;2,170052017E1;2,512782615E0
1,800000000E0;2,223703167E1;3,100950869E0
1,840000000E0;2,401938594E1;3,102217502E0
1,880000000E0;2,465816395E1;2,518307867E0
1,920000000E0;2,570030800E1;3,008561533E0
1,960000000E0;2,879331456E1;3,087343491E0
2,000000000E0;2,925753093E1;3,825621771E0
2,040000000E0;3,004288115E1;2,479169624E0
2,080000000E0;3,126553213E1;2,499466385E0
2,120000000E0;3,221449866E1;2,060990861E0
2,160000000E0;3,307154426E1;2,359390036E0
2,200000000E0;3,483189455E1;2,489164602E0
2,240000000E0;3,607529240E1;2,372391113E0
2,280000000E0;3,660643610E1;2,469362213E0
2,320000000E0;3,750882860E1;1,687800894E0
2,360000000E0;3,981525310E1;2,211921316E0
2,400000000E0;4,074092947E1;3,173287323E0
2,440000000E0;4,263580662E1;1,926269776E0
2,480000000E0;4,452075454E1;3,093361859E0
2,520000000E0;4,490594674E1;2,191048656E0
2,560000000E0;4,681819120E1;1,835982612E0
2,600000000E0;4,947056121E1;3,884846462E0
2,640000000E0;4,989957010E1;3,305200956E0
2,680000000E0;5,036496951E1;3,590634216E0
2,720000000E0;5,126118524E1;2,296805987E0
