mass_B
t;x;y
0,000000000E0;4,210568446E-1;2,499152406E0
4,000000000E-2;4,230413408E-1;2,501046502E0
8,000000000E-2;4,265395868E-1;2,501068883E0
1,200000000E-1;4,498777516E-1;2,497430620E0
1,600000000E-1;4,744547566E-1;2,508528554E0
2,000000000E-1;5,321621042E-1;2,506466859E0
2,400000000E-1;5,905238662E-1;2,511962896E0
2,800000000E-1;6,887114275E-1;2,512397783E0
3,200000000E-1;7,991922537E-1;2,515641096E0
3,600000000E-1;9,244954962E-1;2,518661728E0
4,000000000E-1;1,099755803E0;2,521737225E0
4,400000000E-1;1,270776331E0;2,527706047E0
4,800000000E-1;1,478417335E0;2,519671302E0
5,200000000E-1;1,708644719E0;2,524233809E0
5,600000000E-1;1,966684238E0;2,520843686E0
6,000000000E-1;2,249440513E0;2,536035417E0
6,400000000E-1;2,575290312E0;2,523348504E0
6,800000000E-1;2,905950972E0;2,524391045E0
7,200000000E-1;3,266256439E0;2,518435449E0
7,600000000E-1;3,638196149E0;2,519988135E0
8,000000000E-1;4,046146465E0;2,529656209E0
8,400000000E-1;4,484281328E0;2,521940242E0
8,800000000E-1;4,931486869E0;2,513095611E0
9,200000000E-1;5,393010134E0;2,518576218E0
9,600000000E-1;5,889375902E0;2,516808911E0
1,000000000E0;6,424110502E0;2,527238407E0
1,040000000E0;6,987821082E0;2,527359491E0
1,080000000E0;7,579884353E0;2,539430374E0
1,120000000E0;8,218517863E0;2,553943486E0
1,160000000E0;8,864389022E0;2,527071496E0
1,200000000E0;9,520340763E0;2,479845433E0
1,240000000E0;1,016285146E1;2,463308104E0
1,280000000E0;1,077863871E1;2,451083948E0
1,320000000E0;1,146028120E1;2,473995164E0
1,360000000E0;1,226566040E1;2,480229801E0
1,400000000E0;1,308818092E1;2,460539941E0
1,440000000E0;1,385600770E1;2,423269021E0
1,480000000E0;1,462806110E1;2,431307516E0
1,520000000E0;1,545803490E1;2,447087313E0
1,560000000E0;1,631028677E1;2,431131946E0
1,600000000E0;1,714958435E1;2,450663553E0
1,640000000E0;1,815557077E1;2,568660823E0
1,680000000E0;1,919383980E1;2,571462953E0
1,720000000E0;2,020821560E1;2,521905881E0
1,760000000E0;1,933681689E1;2,303289218E0
1,800000000E0;2,112471364E1;2,742327337E0
1,840000000E0;2,224857866E1;3,018821259E0
1,880000000E0;2,366824739E1;3,448807426E0
1,920000000E0;2,371122055E1;2,674737780E0
1,960000000E0;2,704813586E1;3,557961477E0
2,000000000E0;2,884921443E1;3,128956247E0
2,040000000E0;3,015601993E1;2,652988451E0
2,080000000E0;2,889928422E1;7,473183509E-1
2,120000000E0;2,965920465E1;1,308834283E0
2,160000000E0;3,149210127E1;2,207034882E0
2,200000000E0;3,362638330E1;2,542586484E0
2,240000000E0;3,485998240E1;2,482761188E0
2,280000000E0;3,592382591E1;2,580453734E0
2,320000000E0;3,597396198E1;2,719484196E0
2,360000000E0;3,723419793E1;2,827479541E0
2,400000000E0;3,904696064E1;3,568593508E0
2,440000000E0;4,113654850E1;3,462949290E0
2,480000000E0;4,274950328E1;2,505168956E0
2,520000000E0;4,490378384E1;3,108926699E0
2,560000000E0;4,548380165E1;2,658271819E0
2,600000000E0;4,697752857E1;2,725378552E0
2,640000000E0;4,928031984E1;3,432219131E0
2,680000000E0;4,892791543E1;2,110736340E0
